vehicle_count,avg_wait_time,sensor_activation,label
3.0,12.12,2.17,1
2.0,8.61,1.45,0
10.0,26.61,9.72,2
10.0,58.05,8.95,2
2.0,2.52,1.39,0
8.0,55.71,8.44,2
0.0,0.31,0.26,0
0.0,4.97,0.19,0
8.0,37.56,6.58,2
5.0,16.55,3.01,1
1.0,1.87,0.63,0
7.0,49.05,5.84,2
4.0,20.04,3.19,1
7.0,39.89,4.8,2
1.0,6.06,0.32,0
3.0,23.07,1.59,1
4.0,18.52,3.86,1
9.0,59.7,7.13,2
5.0,12.8,4.04,1
11.0,35.08,8.03,2
3.0,12.79,1.0,1
5.0,13.43,2.64,1
6.0,33.61,5.04,2
1.0,8.93,0.54,0
11.0,41.89,10.87,2
5.0,13.61,3.43,1
3.0,17.64,2.28,1
7.0,44.26,4.27,2
0.0,2.9,0.03,0
1.0,2.38,0.58,0
8.0,37.92,7.05,2
2.0,7.71,0.98,0
12.0,28.59,10.12,2
5.0,20.35,4.93,1
2.0,8.87,0.92,0
2.0,2.28,0.54,0
1.0,7.56,0.42,0
8.0,46.14,6.92,2
0.0,1.38,0.25,0
0.0,1.74,0.0,0
3.0,11.51,2.52,1
1.0,8.71,0.73,0
8.0,43.43,7.49,2
0.0,6.33,0.0,0
4.0,17.45,3.18,1
4.0,22.44,3.63,1
2.0,9.62,1.14,0
0.0,1.2,0.0,0
2.0,4.17,1.01,0
7.0,50.6,6.43,2
8.0,59.58,6.4,2
5.0,18.79,3.98,1
5.0,16.08,4.28,1
2.0,5.36,0.8,0
7.0,58.49,6.72,2
6.0,33.94,5.02,2
2.0,8.87,0.97,0
0.0,0.84,0.0,0
1.0,6.32,0.37,0
6.0,27.43,4.81,2
1.0,0.51,0.32,0
1.0,2.22,0.56,0
3.0,18.99,2.31,1
2.0,6.34,1.06,0
1.0,7.62,0.42,0
0.0,5.91,0.23,0
12.0,53.11,9.84,2
3.0,20.51,2.73,1
12.0,55.31,11.21,2
2.0,9.37,1.09,0
3.0,19.31,1.95,1
4.0,23.47,2.49,1
12.0,49.11,11.94,2
12.0,48.28,11.54,2
4.0,23.12,3.77,1
1.0,3.68,1.01,0
5.0,13.96,2.84,1
10.0,39.47,8.18,2
1.0,6.36,0.5,0
1.0,2.4,0.27,0
4.0,17.43,2.47,1
1.0,7.61,0.94,0
4.0,11.28,2.52,1
4.0,13.37,3.56,1
11.0,33.63,7.32,2
9.0,56.05,7.66,2
4.0,13.93,2.86,1
5.0,13.89,2.57,1
1.0,3.39,1.01,0
9.0,55.89,7.43,2
1.0,0.37,0.55,0
0.0,7.8,0.0,0
11.0,33.92,11.17,2
2.0,3.49,1.4,0
3.0,14.44,2.25,1
5.0,16.57,3.77,1
1.0,3.14,0.24,0
5.0,15.84,3.66,1
0.0,0.77,0.13,0
2.0,8.17,1.1,0
8.0,59.83,6.39,2
4.0,18.45,2.88,1
5.0,14.97,2.95,1
5.0,14.36,4.03,1
5.0,12.24,3.82,1
4.0,18.34,2.68,1
12.0,45.23,10.06,2
11.0,36.84,8.71,2
3.0,17.78,1.76,1
9.0,53.16,6.74,2
3.0,23.89,2.44,1
3.0,15.51,1.82,1
1.0,9.08,0.88,0
6.0,35.77,5.64,2
1.0,0.9,0.8,0
3.0,22.19,2.8,1
1.0,5.09,0.46,0
8.0,33.88,8.41,2
2.0,2.42,0.91,0
7.0,34.12,6.08,2
2.0,8.99,1.03,0
2.0,8.04,0.84,0
2.0,8.96,1.54,0
5.0,14.9,2.82,1
5.0,19.0,4.52,1
6.0,27.97,5.66,2
7.0,53.52,6.16,2
6.0,28.22,5.68,2
5.0,24.75,3.73,1
2.0,2.85,1.49,0
1.0,7.26,0.83,0
11.0,28.76,7.96,2
2.0,7.13,1.11,0
6.0,26.72,4.95,2
6.0,44.73,5.13,2
2.0,4.94,0.53,0
3.0,12.14,1.51,1
0.0,5.3,0.2,0
0.0,3.21,0.04,0
3.0,16.16,2.73,1
5.0,14.92,4.13,1
3.0,20.99,1.85,1
3.0,23.53,2.76,1
9.0,27.26,8.53,2
3.0,15.58,2.71,1
0.0,3.87,0.0,0
0.0,9.86,0.0,0
8.0,36.85,7.01,2
0.0,1.13,0.1,0
4.0,19.97,3.16,1
8.0,52.12,7.95,2
2.0,9.25,1.05,0
3.0,12.68,1.33,1
1.0,4.89,0.91,0
